Rank,"Admissions
(millions)",Title (year) (studio),Director(s)
1,225.7,Gone With the Wind (1939) (MGM),"Victor Fleming, George Cukor, Sam Wood"
2,194.4,Star Wars (Ep. IV: A New Hope) (1977) (Fox),George Lucas
3,161.0,ET: The Extra-Terrestrial (1982) (Univ),Steven Spielberg
4,156.4,The Sound of Music (1965) (Fox),Robert Wise
5,130.0,The Ten Commandments (1956) (Para),Cecil B. DeMille
6,128.4,Titanic (1997) (Fox),James Cameron
7,126.3,Snow White and the Seven Dwarfs (1937) (BV),David Hand
8,120.7,Jaws (1975) (Univ),Steven Spielberg
9,120.1,Doctor Zhivago (1965) (MGM),David Lean
10,118.9,The Lion King (1994) (BV),"Roger Allers, Rob Minkoff"
